wiki	notifications	users
commonswiki	1	48783
commonswiki	2	10920
commonswiki	3	1238
commonswiki	4	361
commonswiki	5	150
commonswiki	6	105
commonswiki	7	60
commonswiki	8	39
commonswiki	9	35
commonswiki	10	30
commonswiki	11	19
commonswiki	12	13
commonswiki	13	16
commonswiki	14	13
commonswiki	15	9
commonswiki	16	6
commonswiki	17	10
commonswiki	18	3
commonswiki	19	3
commonswiki	20	7
commonswiki	21	4
commonswiki	22	3
commonswiki	23	5
commonswiki	24	3
commonswiki	25	2
commonswiki	26	5
commonswiki	27	4
commonswiki	28	4
commonswiki	29	2
commonswiki	30	3
commonswiki	31	4
commonswiki	32	3
commonswiki	33	1
commonswiki	34	3
commonswiki	35	2
commonswiki	36	1
commonswiki	37	5
commonswiki	38	1
commonswiki	39	5
commonswiki	40	1
commonswiki	41	1
commonswiki	42	1
commonswiki	43	1
commonswiki	44	1
commonswiki	45	1
commonswiki	46	2
commonswiki	47	2
commonswiki	48	1
commonswiki	50	1
commonswiki	51	2
commonswiki	54	1
commonswiki	55	1
commonswiki	57	2
commonswiki	58	3
commonswiki	59	1
commonswiki	60	1
commonswiki	62	2
commonswiki	65	1
commonswiki	68	1
commonswiki	69	2
commonswiki	75	4
commonswiki	81	2
commonswiki	82	1
commonswiki	85	1
commonswiki	90	1
commonswiki	91	1
commonswiki	93	1
commonswiki	94	1
commonswiki	98	1
commonswiki	100	1
commonswiki	102	1
commonswiki	103	1
commonswiki	114	1
commonswiki	117	1
commonswiki	133	1
commonswiki	134	1
commonswiki	137	1
commonswiki	139	1
commonswiki	140	1
commonswiki	190	1
commonswiki	207	1
commonswiki	316	1
commonswiki	384	1
commonswiki	814	1
enwiki	1	200083
enwiki	2	24925
enwiki	3	10591
enwiki	4	4683
enwiki	5	2324
enwiki	6	1405
enwiki	7	907
enwiki	8	665
enwiki	9	468
enwiki	10	379
enwiki	11	298
enwiki	12	232
enwiki	13	194
enwiki	14	163
enwiki	15	172
enwiki	16	133
