wiki	unread notifications	users
commonswiki	0	94191
commonswiki	1	10098
commonswiki	2	2603
commonswiki	3	443
commonswiki	4	191
commonswiki	5	115
commonswiki	6	72
commonswiki	7	55
commonswiki	8	42
commonswiki	9	42
commonswiki	10	18
commonswiki	11	17
commonswiki	12	16
commonswiki	13	12
commonswiki	14	16
commonswiki	15	10
commonswiki	16	14
commonswiki	17	8
commonswiki	18	4
commonswiki	19	5
commonswiki	20	6
commonswiki	21	5
commonswiki	22	3
commonswiki	23	1
commonswiki	24	9
commonswiki	25	5
commonswiki	26	3
commonswiki	27	4
commonswiki	28	2
commonswiki	29	1
commonswiki	30	3
commonswiki	31	2
commonswiki	32	3
commonswiki	33	1
commonswiki	34	3
commonswiki	35	1
commonswiki	36	5
commonswiki	37	1
commonswiki	38	4
commonswiki	39	3
commonswiki	40	2
commonswiki	41	2
commonswiki	43	4
commonswiki	44	1
commonswiki	45	2
commonswiki	46	2
commonswiki	47	1
commonswiki	48	1
commonswiki	49	2
commonswiki	53	1
commonswiki	54	2
commonswiki	55	2
commonswiki	56	2
commonswiki	57	1
commonswiki	59	2
commonswiki	61	1
commonswiki	63	2
commonswiki	65	1
commonswiki	67	1
commonswiki	68	1
commonswiki	72	1
commonswiki	75	1
commonswiki	76	1
commonswiki	78	1
commonswiki	79	1
commonswiki	82	2
commonswiki	84	1
commonswiki	93	1
commonswiki	96	1
commonswiki	97	1
commonswiki	99	1
commonswiki	100	1
commonswiki	102	1
commonswiki	103	1
commonswiki	108	1
commonswiki	113	1
commonswiki	115	1
commonswiki	116	1
commonswiki	121	1
commonswiki	125	1
commonswiki	127	1
commonswiki	161	1
commonswiki	175	1
commonswiki	178	1
commonswiki	224	1
commonswiki	258	1
commonswiki	445	1
enwiki	0	122853
enwiki	1	83435
enwiki	2	11946
enwiki	3	5617
enwiki	4	2772
enwiki	5	1550
enwiki	6	973
enwiki	7	673
enwiki	8	530
enwiki	9	393
enwiki	10	330
enwiki	11	263
enwiki	12	239
enwiki	13	171
enwiki	14	186
enwiki	15	138
enwiki	16	118
enwiki	17	107
enwiki	18	103
enwiki	19	109
enwiki	20	76
enwiki	21	72
enwiki	22	73
enwiki	23	64
enwiki	24	61
enwiki	25	62
enwiki	26	64
enwiki	27	48
enwiki	28	54
enwiki	29	53
enwiki	30	49
enwiki	31	30
enwiki	32	32
enwiki	33	35
enwiki	34	25
enwiki	35	35
enwiki	36	36
enwiki	37	25
enwiki	38	25
enwiki	39	27
enwiki	40	24
enwiki	41	29
enwiki	42	26
enwiki	43	25
enwiki	44	21
enwiki	45	15
enwiki	46	20
enwiki	47	15
enwiki	48	19
enwiki	49	19
enwiki	50	16
enwiki	51	14
enwiki	52	16
enwiki	53	15
enwiki	54	16
enwiki	55	14
enwiki	56	7
enwiki	57	12
enwiki	58	8
enwiki	59	4
enwiki	60	8
enwiki	61	14
enwiki	62	6
enwiki	63	18
enwiki	64	16
enwiki	65	9
enwiki	66	10
enwiki	67	8
enwiki	68	12
enwiki	69	6
enwiki	70	3
enwiki	71	7
enwiki	72	8
enwiki	73	6
enwiki	74	11
enwiki	75	8
enwiki	76	4
enwiki	77	10
enwiki	78	6
enwiki	79	5
enwiki	80	2
enwiki	81	2
enwiki	82	5
enwiki	83	7
enwiki	84	12
enwiki	85	4
enwiki	86	7
